Rank,Name,Adjusted Salary,Average SWE Salary,Average SWE Salary after tax
1,"Redmond, WA","$65,729.96","$116,494.00","$88,214.00"
2,"Seattle, WA","$64,476.92","$116,494.00","$88,214.00"
3,"Bellevue, WA","$64,377.68","$116,494.00","$88,214.00"
4,"Yakima, WA","$60,453.00","$89,627.00","$69,753.00"
5,"Allentown, PA","$59,573.00","$90,895.00","$67,853.00"
6,"Trenton, NJ","$59,272.00","$93,122.00","$66,472.00"
7,"Pleasanton, CA","$57,851.00","$126,069.00","$86,291.00"
8,"Verona, WI","$57,317.56","$92,430.00","$66,886.00"
9,"Oakland, CA","$56,903.00","$126,069.00","$86,291.00"
10,"Lubbock, TX","$56,822.44","$82,707.00","$64,885.00"
11,"Naples, FL","$55,885.40","$79,979.00","$62,966.00"
12,"San Jose, CA","$55,815.56","$124,904.00","$85,583.00"
13,"Cambridge, MA","$55,731.44","$98,968.00","$71,318.00"
14,"Champaign, IL","$55,704.96","$88,837.00","$64,905.00"
15,"Appleton, WI","$54,635.04","$83,292.00","$61,035.00"
16,"Harrisburg, PA","$54,418.00","$84,300.00","$63,418.00"
17,"Las Vegas, NV","$54,199.28","$83,340.00","$65,330.00"
18,"Worcester, MA","$54,160.68","$90,787.00","$66,075.00"
19,"Eureka, CA","$54,144.04","$89,465.00","$64,144.00"
20,"Tempe, AZ","$54,121.00","$87,958.00","$65,737.00"
21,"San Antonio, TX","$54,045.96","$84,880.00","$66,414.00"
22,"Greensboro, NC","$53,879.04","$87,380.00","$63,579.00"
23,"Concord, NH","$53,336.00","$82,069.00","$64,436.00"
24,"San Mateo, CA","$53,291.00","$126,069.00","$86,291.00"
25,"Baltimore, MD","$53,279.56","$95,004.00","$69,313.00"
26,"Colorado Springs, CO","$53,200.32","$89,761.00","$65,691.00"
27,"Springfield, MA","$53,022.56","$82,181.00","$60,470.00"
28,"Knoxville, TN","$52,998.84","$81,474.00","$64,017.00"
29,"Madison, WI","$52,926.64","$92,430.00","$66,886.00"
30,"Dallas-Fort Worth, TX","$52,715.16","$88,019.00","$68,622.00"
31,"Boulder, CO","$52,710.16","$98,027.00","$71,053.00"
32,"Duluth, MN","$52,681.04","$86,895.00","$62,837.00"
33,"Sunnyvale, CA","$52,526.48","$124,904.00","$85,583.00"
34,"Huntsville, AL","$52,089.20","$83,291.00","$61,952.00"
35,"Tucson, AZ","$52,017.12","$79,788.00","$60,336.00"
36,"Fargo, ND","$52,004.44","$77,261.00","$59,917.00"
37,"Santa Fe, NM","$51,839.00","$89,097.00","$65,789.00"
38,"Houston, TX","$51,694.44","$87,098.00","$67,974.00"
39,"Richmond, VA","$51,663.60","$90,603.00","$65,832.00"
40,"Pittsburgh, PA","$51,587.84","$87,307.00","$65,441.00"
41,"Jacksonville, FL","$51,515.04","$81,042.00","$63,714.00"
42,"Phoenix, AZ","$51,484.60","$87,958.00","$65,737.00"
43,"Jonesboro, AR","$51,222.96","$81,657.00","$59,523.00"
44,"Baton Rouge, LA","$51,101.04","$85,233.00","$61,986.00"
45,"Akron, OH","$51,041.00","$77,706.00","$59,069.00"
46,"Lawrence, KS","$51,013.00","$80,924.00","$60,313.00"
47,"Scottsdale, AZ","$50,789.68","$87,958.00","$65,737.00"
48,"Fort Wayne, IN","$50,730.00","$78,037.00","$58,980.00"
49,"Santa Barbara, CA","$50,721.72","$102,651.00","$72,357.00"
50,"Sacramento, CA","$50,616.56","$95,820.00","$68,324.00"
51,"Palo Alto, CA","$50,463.80","$124,904.00","$85,583.00"
52,"Riverside, CA","$50,333.00","$93,222.00","$66,758.00"
53,"Fort Collins, CO","$50,286.56","$88,654.00","$64,964.00"
54,"Norwalk, CT","$50,135.00","$102,289.00","$72,695.00"
55,"Wichita, KS","$50,122.04","$78,802.00","$58,922.00"
56,"New Haven, CT","$49,882.68","$103,035.00","$73,155.00"
57,"Lansing, MI","$49,875.00","$78,675.00","$58,875.00"
58,"Memphis, TN","$49,856.00","$76,739.00","$60,686.00"
59,"Austin, TX","$49,665.68","$89,651.00","$69,770.00"
60,"Cambridge, MD","$49,396.44","$88,389.00","$64,983.00"
61,"Raleigh-Durham, NC","$49,302.36","$88,076.00","$64,029.00"
62,"Albuquerque, NM","$49,121.36","$78,968.00","$59,159.00"
63,"Daytona Beach, FL","$49,076.52","$74,638.00","$59,208.00"
64,"Portland, ME","$48,935.60","$95,273.00","$67,571.00"
65,"Binghamton, NY","$48,872.00","$78,419.00","$57,632.00"
66,"Columbus, GA","$48,825.48","$86,211.00","$62,667.00"
67,"Tallahassee, FL","$48,804.84","$73,009.00","$58,062.00"
68,"San Diego, CA","$48,693.40","$101,316.00","$71,569.00"
69,"Rochester, MN","$48,439.00","$80,846.00","$59,008.00"
70,"Dayton, OH","$48,409.76","$75,976.00","$57,917.00"
71,"Cincinnati, OH","$48,352.60","$79,597.00","$60,328.00"
72,"Philadelphia, PA","$48,343.28","$89,127.00","$66,665.00"
73,"Stamford, CT","$48,263.00","$102,289.00","$72,695.00"
74,"Kingston, NY","$48,148.76","$81,527.00","$59,618.00"
75,"Pasadena, CA","$48,011.16","$100,614.00","$71,154.00"
76,"Des Moines, IA","$47,962.00","$81,373.00","$59,662.00"
