Rank,Name,Size Index
1,"San Francisco, CA",524250
2,"New York City, NY",460100
3,"San Jose, CA",439950
4,"Los Angeles, CA",350700
5,"Seattle, WA",331450
6,"Boston, MA",331400
7,"Toronto, ON, Canada",236000
8,"Chicago, IL",229850
9,"Austin, TX",223400
10,"San Diego, CA",177000
11,"Dallas-Fort Worth, TX",171500
12,"Atlanta, GA",161000
13,"Portland, OR",155200
14,"Raleigh-Durham, NC",146000
15,"Phoenix, AZ",140050
16,"Pittsburgh, PA",115200
17,"Vancouver, BC, Canada",112000
18,"Houston, TX",110000
19,"Denver, CO",109500
20,"Philadelphia, PA",105000
21,"Miami-Fort Lauderdale, FL",100000
22,"Boulder, CO",90050
23,"Salt Lake City, UT",80000
24,"Baltimore, MD",75000
25,"Detroit, MI",75000
26,"Montreal, QC, Canada",70000
27,"Columbus, OH",70000
28,"Charlotte, NC",70000
29,"San Antonio, TX",66000
30,"Minneapolis-St. Paul, MN",60000
31,"Tampa, FL",60000
32,"Orlando, FL",55000
33,"Las Vegas, NV",55000
34,"Napa, CA",55000
35,"Ottawa, ON, Canada",51000
36,"Champaign, IL",50500
37,"Kitchener, ON, Canada",50000
38,"Sacramento, CA",50000
39,"Albany, NY",50000
40,"Santa Barbara, CA",46050
41,"Trenton, NJ",45000
42,"Boise, ID",45000
43,"Mountain View, CA",42200
44,"Omaha, NE",40000
45,"Kansas City, MO",40000
46,"Springfield, MA",40000
47,"Worcester, MA",40000
48,"Madison, WI",35000
49,"Milwaukee, WI",35000
50,"Indianapolis, IN",35000
51,"Palo Alto, CA",33300
52,"Provo, UT",31000
53,"Hartford, CT",30500
54,"Coos Bay, OR",30500
55,"New Orleans, LA",30400
56,"Sunnyvale, CA",30000
57,"St. Louis, MO",30000
58,"Louisville, KY",30000
59,"Tucson, AZ",30000
60,"Fort Collins, CO",30000
61,"Ann Arbor, MI",30000
62,"Manchester, NH",30000
63,"Memphis, TN",30000
64,"Dayton, OH",30000
65,"Calgary, AB, Canada",30000
66,"Santa Cruz, CA",30000
67,"Rochester, NY",25000
68,"Oklahoma City, OK",25000
69,"Buffalo, NY",25000
70,"Jacksonville, FL",25000
71,"Redwood City, CA",21000
72,"Burlington, VT",20200
73,"Tallahassee, FL",20000
74,"Bridgeport, CT",20000
75,"Merced, CA",20000
76,"Albuquerque, NM",20000
77,"Santa Clara, CA",20000
78,"Halifax, NS, Canada",20000
79,"Cleveland, OH",20000
80,Hawaiian Islands,20000
81,"Fayetteville, AR",20000
82,"Des Moines, IA",20000
83,"Colorado Springs, CO",20000
84,"El Paso, TX",20000
85,Puerto Rico,20000
86,"New Haven, CT",20000
87,"Providence, RI",20000
88,"Knoxville, TN",20000
89,"Allentown, PA",20000
90,"Richmond, VA",20000
91,"Scranton, PA",20000
92,"Norfolk, VA",20000
93,"Victoria, BC, Canada",20000
94,"Cambridge, MD",20000
95,"San Mateo, CA",17000
96,"Cambridge, MA",15200
97,"Santa Fe, NM",15000
98,"Wichita, KS",15000
99,"Columbus, GA",15000
100,"Jesup, GA",15000
101,"Riverside, CA",15000
102,"Birmingham, AL",15000
103,"Charleston, SC",15000
104,"Kingston, NY",11000
105,"Concord, NH",11000
106,"Bellevue, WA",11000
107,"Santa Monica, CA",10500
108,"Sarasota, FL",10500
109,"San Luis Obispo, CA",10200
110,"Yakima, WA",10000
111,"Pleasanton, CA",10000
112,"Miami, OK",10000
113,"Burbank, CA",10000
114,"Daytona Beach, FL",10000
115,"Fort Wayne, IN",10000
116,"Bloomington, IL",10000
117,"Hawthorne, CA",10000
118,"Norwalk, CT",10000
119,"Fort Smith, AR",10000
120,Copenhagen (Denmark),10000
121,"Montgomery, AL",10000
122,"Grand Rapids, MI",10000
123,"Huntsville, AL",10000
124,"Iowa City, IA",10000
125,"Harrisburg, PA",10000
126,"Cincinnati, OH",10000
127,"Naples, FL",10000
128,"Nashville, TN",10000
129,"Lexington, KY",10000
130,"Syracuse, NY",10000
131,"Barre, VT",10000
132,"La Crosse, WI",10000
133,"Eureka, CA",10000
134,"Lakeland, FL",10000
135,"Medford, OR",10000
136,"Tulsa, OK",10000
137,"Greensboro, NC",10000
138,"Fargo, ND",10000
139,"Redmond, WA",10000
140,"Bend, OR",10000
141,"Salinas, CA",10000
142,"Reno, NV",10000
143,"Edmonton, AB, Canada",10000
144,"Columbia, SC",10000
145,"Lancaster, PA",10000
146,"Idaho Falls, ID",10000
147,"Binghamton, NY",10000
148,"Canton, OH",10000
149,"Fredericton, NB, Canada",10000
150,"Armonk, NY",10000
151,"Lawrence, KS",10000
152,"Baton Rouge, LA",10000
153,"Rochester, MN",10000
154,"Lansing, MI",10000
155,"Lincoln, NE",10000
156,"Portland, ME",10000
157,"Monroe, LA",10000
158,"Duluth, MN",10000
159,"Little Rock, AR",10000
160,"Bakersfield, CA",10000
161,"Bloomington, IN",10000
162,"St. George, UT",10000
163,"Lubbock, TX",10000
164,"Kingsport, TN",10000
165,"Scottsdale, AZ",10000
166,"Menlo Park, CA",10000
167,"Verona, WI",10000
168,"Winona, MN",10000
169,"Green Bay, WI",10000
170,"Tempe, AZ",10000
171,"Akron, OH",10000
172,"York-Hanover, PA",10000
173,"St. Cloud, MN",10000
174,"Beaumont, TX",10000
175,"Macon, GA",10000
176,"Amsterdam, NY",10000
177,"Cupertino, CA",10000
178,"Summerville, GA",10000
179,"Ames, IA",5000
180,"Ukiah, CA",5000
181,"Eugene, OR",5000
182,"Bozeman, MT",5000
183,"San Bruno, CA",5000
184,"Weston, FL",5000
185,"Needham, MA",5000
